"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtiv";"Tegevusala";"Tegevuskoha aadress"
"KTO002499";"osaühing Mipron Kaubanduse";"10175962";"06.04.2005";"Jah";"Toitlustamine";"Pargi tn 7, Klooga alevik, Lääne-Harju vald, Harju maakond"
"KTO002464";"AS Hotell Stroomi";"10285216";"05.04.2005";"Jah";"Toitlustamine";"Nelijärve, Nelijärve Puhkekeskus/4, Aegviidu alev, Anija vald, Harju maakond"
"KTO002472";"AS Hotell Stroomi";"10285216";"05.04.2005";"Jah";"Toitlustamine";"Nelijärve , Hostel/4, Aegviidu alev, Anija vald, Harju maakond"
"KTO002205";"Osaühing Cavaterra";"10025455";"18.03.2005";"Jah";"Toitlustamine";"Sütiste tee 30, Mustamäe linnaosa, Tallinn, Harju maakond, 13411"
"";"";"";"";"";"";"Kaarli pst 2, Kesklinna linnaosa, Tallinn, Harju maakond, 10142"
"KTO002204";"osaühing Lorrein";"10109092";"18.03.2005";"Jah";"Toitlustamine";"Gonsiori tn 17, Kesklinna linnaosa, Tallinn, Harju maakond"
"KTO002168";"osaühing Pak L&P";"10323939";"16.03.2005";"Jah";"Toitlustamine";"Ringtee tn 25, Tartu linn, Tartu linn, Tartu maakond"
"KTO001649";"Osaühing GENEVA";"10338183";"15.12.2004";"Jah";"Toitlustamine";"Võidu prospekt 2, Narva linn, Ida-Viru maakond"
"KTO001200";"Hotell Tähetorni OÜ";"10098951";"02.09.2004";"Jah";"Toitlustamine";"Tähetorni tn 16, Nõmme linnaosa, Tallinn, Harju maakond, 11625"
"KTO000342";"OÜ Hunt Kriimsilm";"10924484";"01.06.2004";"Jah";"Toitlustamine";"Pikk tn 39, Kesklinna linnaosa, Tallinn, Harju maakond"
