registrikood;nimi;riik_kood;url;load_luba_tyyp;load_luba_number;load_luba_staatus;load_luba_url;load_luba_valdkond;load_luba_tegevusala;load_luba_emtak_kood;load_luba_kehtiv_alates;load_luba_kehtiv_kuni;load_luba_emtak
11052253;PerfectDeal Osaühing;EST;https://mtr.ttja.ee/juriidiline_isik/80354;Majandustegevusteade;KTO009849;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297351;Kaubandus;Toitlustamine;56301;2009-04-29;;
11052388;Osaühing Aminium Net;EST;https://mtr.ttja.ee/juriidiline_isik/122984;Majandustegevusteade;KTO022191;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/480036;Kaubandus;Toitlustamine;56301;2018-03-01;;
11062748;osaühing Trajali;EST;https://mtr.ttja.ee/juriidiline_isik/69090;Majandustegevusteade;KTO024770;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/631297;Kaubandus;Toitlustamine;56301;2024-04-22;;
11119247;Osaühing GLANZ & GLAMUUR;EST;https://mtr.ttja.ee/juriidiline_isik/72744;Majandustegevusteade;KTO024881;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/634558;Kaubandus;Toitlustamine;56301;2024-06-14;;
11132650;Võiste Sadama OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/106316;Majandustegevusteade;KTO024922;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/636267;Kaubandus;Toitlustamine;56301;2024-07-16;;
11151920;Mossi Grupp OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/104996;Majandustegevusteade;KTO020455;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/310501;Kaubandus;Toitlustamine;56301;2014-12-02;;
11186404;Osaühing Nurmberg Ehitus;EST;https://mtr.ttja.ee/juriidiline_isik/73934;Majandustegevusteade;KTO024825;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/633094;Kaubandus;Toitlustamine;56301;2024-05-22;;
11187026;Finn Bayer OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/85437;Majandustegevusteade;KTO023967;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/576807;Kaubandus;Toitlustamine;56301;2022-03-24;;
11205780;AMENDERO OSAÜHING;EST;https://mtr.ttja.ee/juriidiline_isik/75115;Majandustegevusteade;KTO021363;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/447558;Kaubandus;Toitlustamine;56301;2016-07-18;;
11206880;Bristol & Partnerid OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/118719;Majandustegevusteade;KTO021926;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/461958;Kaubandus;Toitlustamine;56301;2017-07-06;;
11207247;osaühing PROGRESSFOON;EST;https://mtr.ttja.ee/juriidiline_isik/86113;Majandustegevusteade;KTO011285;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295511;Kaubandus;Toitlustamine;56301;2009-10-06;;
